adress,latitude,longitude,contents/0,contents/1,quantity,contents/2,contents/3,contents/4,contents/5,contents/6,contents/7,contents/8,contents/9,contents/10,contents/11,contents/12,contents/13,contents/14,contents/15,contents/16,contents/17,contents/18,contents/19,contents/20,contents/21,contents/22,contents/23,contents/24,contents/25,contents/26,contents/27,contents/28,contents/29,contents/30,contents/31,contents/32,contents/33,contents/34,contents/35,contents/36,contents/37,contents/38,contents/39,contents/40,contents/41,contents/42,contents/43,contents/44,contents/45,contents/46,contents/47,contents/48,contents/49,contents/50,contents/51,contents/52,contents/53,contents/54,contents/55,contents/56,contents/57,contents/58,contents/59,contents/60,contents/61,contents/62,contents/63,contents/64,contents/65,contents/66,contents/67,contents/68,contents/69,contents/70,contents/71,contents/72,contents/73,contents/74,contents/75,contents/76,contents/77,contents/78,contents/79,contents/80,contents/81,contents/82,contents/83,contents/84,contents/85,contents/86,contents/87,contents/88,contents/89,contents/90,contents/91,contents/92,contents/93,contents/94,contents/95,contents/96,contents/97,contents/98,contents/99,contents/100,contents/101,contents/102,contents/103,contents/104,contents/105,contents/106,contents/107,contents/108,contents/109,contents/110,contents/111,contents/112,contents/113,contents/114,contents/115,contents/116,contents/117,contents/118,contents/119
경기도 안성시 가현동,37.005279,127.2871276,하천제방붕괴/주택파손및 농경지 매몰 침수,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 남양주시 도농동,37.6070613,127.1588954,집중호우에 의한 내수침수/ 하천의 토사누적으로 인한 범람,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 남양주시 지금동,37.6093382,127.1684224,집중호우에 의한 내수침수/ 하천의 토사누적으로 인한 범람,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 양주시 남방동,37.774666,127.0379139,침수 지역이 중랑천 옆에 산재하고 있는 지역으로 폭우시 배수로가 좁은관계로 하천물의 역류에 침수가 발생함,내수침수,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 양주시 백석읍 방성리,37.8056597,127.0098321,구거보다 농경지가 낮은지역으로 상습침수지역임,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 양주시 백석읍,37.7949385,126.9852568,폭우에 의한 우수가 주위 지형보다 낮은 지역으로 흘러듬에 따른 내수에 의한 침수,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 양주시 광적면 우고리,37.8310197,126.9452003,광범위한 지역의 농경지에서 지형이 낮은 곳으로 우수가 이동 흘러듬에 따른 내수에 의한 침수,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 양주시,37.7852875,127.0458453,침수지역을 통과하는 구거의 범람과 주위에서 모여든 우수에 의한 침수,송추IC부근 3-4개의 하천지류가 유입되는 곳으로 하천폭이 좁아 쉽게범람하여 침수됨.,1,침수피해지역은 공릉천에 인접한 송추역 부근으로 집중호우에 의한하천의 수위상승과 내수배제가 불량하여 저지대 내수침수 발생,침수피해지역은 삼상초교 부근으로 석현천과 공릉천이 만나는합류부로 집중호우에 의한 하천의 수위상승과 하천흐름의 지체로내수배제가 불리한 지역임,침수피해지역은 공릉천 인접지역으로 집중호우에 의한 하천의수위상승과 내수배제가 불량하여 저지대 내수침수 발생,침수피해지역은 공릉천에 인접한 신흥레저타운으로 집중호우에 의한하천의 수위상승과 내수배제가 불량하여 저지대 내수침수 발생,침수피해지역은 주거지역으로 집중호우에 의한 하수구의 역류로 주변 침수,침수피해지역은 농경지지역으로 좁은 배수로가 집중호우에 의한내수배제불량으로 저지대침수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 양평군 개군면 하자포리,37.4373166,127.5344119,남한강 수위상승으로 수문으로 역류하여 농경지 침수,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 양평군 양평읍,37.4864014,127.4934818,집중호우 및 남한강 펌프장 용량부족으로 침수,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 양평군 개군면 석장리,37.4538698,127.5201231,집중호우로 인한 농경지 침수,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 양평군 강상면 세월리,37.4431049,127.4872722,집중호우 및 남한강 수위상승으로 주택일부 침수 및 농지침수,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 양평군 양평읍 회현리,37.4636287,127.5118219,남한강 수위상승으로 인한 수문으로 역류현상에 의한 농경지 침수,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 평택시 통복동,36.9912102,127.0737913,집중호우로 우수유입에 의한 침수,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 평택시 유천동,36.9771512,127.1168198,집중호우에 따른 우수유입에 의한 침수,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 평택시 오성면 안화리,37.0183748,127.0029008,우수유입/ 내수침수 및 진위천 제방범람/  배수시설 미비,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 평택시 청북면 어연리,37.0477301,126.9823911,우수유입/ 내수침수 및 황구지천 제방범람/  배수시설 미비,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 평택시 청북면,37.0397644,126.934234,우수유입/ 내수침수 및 중앙삼계수로 제방범람/  배수시설 미비,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 평택시 포승읍,36.982824,126.8852807,우수유입/ 내수침수 및 남양호 수위상승에 의한 역류,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 창원시 마산합포구,35.1969107,128.5678853,- 2014년 8월 25일 8시간동안 240㎜의 국지성 집중호우 발생- 침수피해지역은 우산천 서쪽에 접한 농경지로 분지형태의 지형 특성으로 우수의 유입이 집중하고 우산천의 범람과 내수배제의 불량으로 침수 발생,- 2014년 8월 25일 8시간동안 240㎜의 국지성 집중호우 발생- 침수피해지역은 공유수면에 근접하여 만조의 영향을 받고/ 상류에서 내려오는 우수의 집중과 배수능력의 저하로 인한 덕곡천의 범람으로 침수 발생,1,- 2014년 8월 25일 8시간동안 240㎜의 국지성 집중호우 발생- 침수피해지역은 우산천 상류지역인 농경지이며 분지형태의 지형으로 우수의 유입이 집중하고 하천 흐름이 저하하여 침수 발생,- 2014년 8월 25일 8시간동안 240㎜의 국지성 집중호우 발생- 침수피해지역은 공유수면에 근접하여 만조의 영향을 받고/ 진동천과 인곡천의 합류부에 위치하여 상류에서 내려오는 우수의 집중과 배수능력의 저하로 인한 진동천의 범람으로 침수 발생,- 2014년 8월 25일 8시간동안 240㎜의 국지성 집중호우 발생- 침수피해지역은 공유수면에 접하여 지대가 낮아 만조의 영향을 받고/ 진동천과 인곡천 및 덕곡천의 합류부에 위치하여 상류에서 내려오는 우수의 집중과 배수능력의 저하로 침수 발생,- 2014년 8월 25일 8시간동안 240㎜의 국지성 집중호우 발생- 침수피해지역은 진동천 제방에 접한 주거지와 농지등이 혼재한 지역으로 지대가 낮아 집중호우시 진동천으로 수위 상승에 따른 배수능력의 저하 및 역류로 침수 발생,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시,33.2541205,126.560076,18호태풍(집중호우)에 의한 하천 범람,태풍(집중호우)에 의한 하천 범람,1,18호태풍(집중호우)에 의한 하천범람,18호태풍(집중호우)에 의한 하천 범람,18호태풍(집중호우)에 의한 하천범람,제18호태풍(집중호우)에 의한 하천 범람,18호태풍(집중호우)에 의한 하천범람,18호태풍(집중호우)에 의한 하천 범람,18호 태풍(집중호우) 하천 범람,제18호태풍(집중호우)에 의한 하천범람,18호 태풍(집중호우)에 의한 하천 범람,18호 태풍(집중호우)에 의한 하천 범람,서쪽으로 의귀천이 흐르며 침수피해 지역이 주변 필지보다 저지대에 속하여 주변지역으로부터 우수의 저지대 집중.,침수피해 지역이 주변 필지보다 저지대에 속하여 주변지역으로부터 우수의 저지대 집중.,침수피해 지역이 주변 필지보다 저지대에 속하여 주변지역으로부터 우수의 저지대 집중.,남저북고의 경사지형 및 침수피해지역의 배수용량 부족으로 수위상승으로 인한 침수피해,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,서쪽으로 천미천이 흐르며/ 남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 지속적인 우수의 유입과 피해지역이 주             변의 지대보다 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,남저북고의 경사지역 및 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,주변 도로와의 고저차가 크며/ 남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 해당지가  주변지형보다 상대적으로 낮고 배수시설이 미비하여 내수배제가 불량함,남저북고의 경사지역으로 해당지가  주변지형보다 상대적으로 낮고 배수시설이 미비하여 내수배제가 불량함,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남쪽으로 신난천이 흐르며/ 남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남쪽으로 신난천이 흐르며/ 남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,서쪽으로 신난천이 흐르며/ 남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,서쪽으로 신난천이 흐르며/ 남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,동쪽으로 신난천이 흐르며/ 남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,주변 도로변과 고저차가 있어 침수발생 요인이 큼.,동쪽으로 난산천이 흐르며/ 남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,서쪽으로 난산천이 흐르며/ 남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,서쪽으로 난산천이 흐르며/ 남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,경사지역 및 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,배수시설 용량부족과 도로에 비해 지대가 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,경사지역 및 도로에 비해 지대가 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,경사지역 및 배수체계 미비로 우수의 집중이 예상 됨.,서쪽으로 신난천이 흐르고/ 경사지역 및 배수체계 미비로 우수의 집중이 예상 됨.,서쪽으로 신난천이 흐르고/ 경사지역 및 도로에 비해 지대가 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,경사지역 및 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,서쪽으로 신난천이 흐르며/ 경사지역 및 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,서쪽으로 신난천이 흐르며/ 경사지역 및 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,서쪽으로 신난천이 흐르며/ 경사지역 및 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,사지역 및 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,동쪽으로 신난천이 흐르며/ 경사지역 및 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,동쪽으로 신난천/ 서쪽으로 난산천이 흐르며/ 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,경사지역 및 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,주변지대보다 피해지대가 낮으며/ 주택은 반지하 형태로 지속적인 침수피해가 예상됨.,주변 도로변과 고저차가 있어 침수발생.,주변 도로변과 고저차가 있어 침수발생,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,북쪽으로 삼달천이 흐르며/ 남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,도로에서 유입되는 우수와 남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,동쪽으로 삼달천이 흐르고/ 남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많고 배수시설이 미비되어 내수배제가 불량함,동쪽으로 난산천이 흐르며/ 남저북고의 경사지역으로 해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,경사지역 및 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을것으로 보임.,경사지역 및 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,경사지역 및 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을것으로 보임.,경사지역 및 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을 것으로 보임.,경사지역 및 주변의 지대보다 상대적으로 낮아 물의 흐름이 많을것으로 보임.,지대가 상대적으로 높은 지역에서 물이 흘러들며/ 토지 자체에 배수시설 미비로 내수배제가 불리함.,해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,우천시 도로에서 빗물이 흘러 넘치며/ 배수로가 있음에도 이물질이 많이 쌓여 역할을 못하고 있음.,지대가 상대적으로 높은 지역에서 물이 흘러들며/ 토지 자체에 배수시설 미비로 내수배제가 불리함.,주변 지형에 비해 상대적으로 저지대이고 태풍으로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,주변 도로변과 고저차로 유입된 우수를 배출할 필지내 배수시설이 없어 침수 됨.,해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,태풍으로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,태풍으로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,주변 지형에 비해 상대적으로 저지대이고 태풍으로 인한 많은 비가 내려 배수가 원활하게 배수가 되지 않아 침수가 되었음.,주변 지형에 비해 상대적으로 저지대이고 태풍으로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,반지하 주택형태로 인해 우수가 집중됨.,지대가 상대적으로 높은 지역에서 물이 흘러들어 침수피해가 발생.,주변 지형에 비해 상대적으로 저지대이고 국지성 호우로 인한 많은 비가 원활하게 배수가 되지 않아 침수가 되었음.,주변 지형에 비해 상대적으로 저지대이고 국지성 호우로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,지속적인 우수의 유입과 피해지역이 다른지대보다 낮아 침수피해가 발생.,피해지역이 도로보다 낮아 우천시 도로에서 우수가 흘러 침수피해가 발생.,주변 지형에 비해 상대적으로 저지대이고 국지성 호우로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,주변 지형에 비해 상대적으로 저지대이고 국지성 호우로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,주변 지형에 비해 상대적으로 저지대이고 국지성 호우로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,지대가 상대적으로 높은 지역에서 물이 흘러들며/ 토지 자체에 배수시설 미비로 내수배제가 불리함.,지대가 상대적으로 높은 지역에서 물이 흘러들며/ 토지 자체에 배수시설 미비로 내수배제가 불리함.,주변 지형에 비해 상대적으로 저지대이고 국지성 호우로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,도로나 인접필지보다 지대가 낮아 물이 흘러들어와 침수피해가 발생.,주변 지대보다 피해지대가 저지대이며/ 배수시설이 갖추어지지 않아 침수피해가 발생.,주변 지형에 비해 상대적으로 저지대이고 국지성 호우로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,도로보다 저지대로 인한 주변지역으로부터 우수의 저지대 집중.,지대가 상대적으로 높은 지역에서 물이 흘러들며/ 토지 자체에 배수시설 미비로 내수배제가 불리함.,주변지대보다 피해지대가 낮아 침수피해가 발생하였으며/ 배수시설이 부족함.,해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,우천시 도로에서 빗물이 흘러 넘쳐 침수피해 발생.,지대가 상대적으로 높은 지역에서 물이 흘러들며/ 토지 자체에 배수시설 미비로 내수배제가 불리함.,반지하 주택형태로 인해 우수가 집중됨,해당지가 주변지대보다 상대적으로 낮아 물의 흐름이 많음.,주변 지형에 비해 상대적으로 저지대이고 태풍으로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,태풍으로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,태풍으로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,주변 지형에 비해 상대적으로 저지대이고 태풍으로 인한 많은 비가 내려 배수가 원활하게 배수가 되지 않아 침수가 되었음.,주변 지형에 비해 상대적으로 저지대이고 태풍으로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,도로와 고저차가 있어 침수피해가 발생.,지대가 상대적으로 높은 지역에서 물이 흘러들어 침수피해가 발생. 또한/ 배수시설이 미비함.,주변 지형에 비해 상대적으로 저지대이고 국지성 호우로 인한 많은 비가 원활하게 배수가 되지 않아 침수가 되었음.,주변 지형에 비해 상대적으로 저지대이고 국지성 호우로 인한 많은 비가 내수배재의 불량으로 원활이 배수가 되지 않아 침수가 되었음.,지속적인 우수의 유입과 피해지역이 다른지대보다 낮아 침수피해가 발생.
부산광역시 해운대구,35.1631139,129.1635509,1. 하수/우수관거 용량 부족- 짧은 시간동안 많은 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 송정천 수위 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.,1. 하수/우수관거 용량 부족- 짧은 시간동안 많은 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.,1,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 석대천의 범람으로 하천수가 저지대로 유입되어 침수 발생,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중 호우로 인한 토사 및 우수가 저지대로 유입되어 침수 발생,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 선수천로 주변의 저지대로 유입되어 침수 발생,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 옥봉산의 토사 및 우수가 저지대로 유입되어 침수 발생,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 수영강의 범람으로 하천수가 저지대로 유입되어 침수 발생,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 호우가 해운대로 저지대로 유입되어 침수 발생,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 인근 토사 및 우수가 저지대로 유입되어 침수 발생,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가  반송로 주변의 저지대로 유입되어 침수 발생,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 석대첨단산업단지에 집중된 우수가 저지대로 유입되어 침수 발생,1. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.,"1. 하수,우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 만조위 및 수영강의 범람으로 하천수가 저지대로 유입되어 침수발생.","1. 하수,우수관거 용량 부족- 짧은 시간동안 많은 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.","1. 하수,우수관거 용량 부족- 짧은 시간동안 많은 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.",1. 하수/우수관거 용량 부족- 짧은 시간동안 많은 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 통영시,34.8544227,128.433182,동호만 인접해있는 상업지구로서 지대가 낮고 우수 유입의 집중으로 내수배제가 불리한 지역임,섬 지역으로 지대가 낮고 우수 유입의 집중으로 내수배제가 불리한 지역임,1,집중호우시 급격히 늘어난 배수량을 감당하지 못하고 도로 부분 침수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
